Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT2G02400,,5.33,DOWN,6.92,0.1712,Rossmann-fold NAD(P)-binding domain-containing protein
AT2G02410,,7.01,UP,5.56,0.4329,uncharacterized protein
AT2G02470,AL6,2.12,UP,6.99,0.4742,protein alfin-like 6
AT2G02510,,2.56,DOWN,149.98,0.0096,NADH dehydrogenase (ubiquinone)
AT2G02560,HVE,3.15,UP,4.99,0.0420,cullin-associated NEDD8-dissociated protein 1
AT2G02570,,1.68,UP,9.17,0.5332,survival of motor neuron-related-splicing factor 30
AT2G02760,ATUBC2,1.66,DOWN,46.66,0.1758,ubiquitin-conjugating enzyme E2 A
AT2G02800,APK2B,1.64,DOWN,8.17,0.4505,protein kinase 2B
AT2G02960,,2.84,UP,11.19,0.0944,RING/FYVE/PHD zinc finger-containing protein
AT2G02970,,1.64,DOWN,7.85,0.4331,GDA1/CD39 nucleoside phosphatase-like protein
AT2G03090,ATEXP15,6.67,DOWN,12.90,0.0500,expansin A15
AT2G03120,ATSPP,1.16,DOWN,18.78,0.9737,minor histocompatibility antigen H13
AT2G03310,,2.01,DOWN,8.47,0.5064,uncharacterized protein
AT2G03350,,1.22,UP,9.08,1,uncharacterized protein
AT2G03390,,11.90,UP,17.59,0.0391,uvrB/uvrC motif-containing protein
AT2G03440,NRP1,1.09,UP,51.51,1,nodulin-related protein 1
AT2G03550,,3.13,DOWN,12.01,0.1574,alpha/beta-Hydrolase-like protein
AT2G03640,,1.96,UP,8.75,0.2600,nuclear transport factor 2 and RNA recognition motif domain-containing protein
AT2G03680,SKU6,1.09,DOWN,77.39,1,spiral1
AT2G03690,,1.70,UP,11.39,0.7050,ubiquinone biosynthesis protein COQ4-like protein
AT2G03820,,1.54,DOWN,12.67,0.3386,nonsense-mediated mRNA decay protein 3
AT2G03870,,1.87,DOWN,26.95,0.3790,U6 snRNA-associated Sm-like protein LSm7
AT2G04030,HSP90.5,2.25,UP,18.86,0.0038,Chaperone protein htpG family protein
AT2G04039,,36.95,UP,10.37,0.3835,uncharacterized protein
AT2G04110,,1.53,UP,9.90,0.7810,pseudogene
AT2G04240,XERICO,2.98,DOWN,6.51,0.6409,RING/U-box domain-containing protein
AT2G04280,,1.61,DOWN,11.93,0.3555,uncharacterized protein
AT2G04350,LACS8,2.47,UP,7.56,0.0805,putative AMP-binding protein
AT2G04360,,1.20,DOWN,11.96,1,uncharacterized protein
AT2G04378,,1.04,UP,13.93,1,Beta-galactosidase related protein
AT2G04380,,2.85,DOWN,16.32,0.2612,uncharacterized protein
AT2G04390,,1.73,UP,33.41,0.3519,40S ribosomal protein S17-1
AT2G04400,,3.28,UP,17.66,0.0454,indole-3-glycerol phosphate synthase
AT2G04410,,1.14,DOWN,74.65,0.9370,RPM1-interacting protein 4-like protein
AT2G04520,,1.29,DOWN,85.87,0.4165,OB-fold nucleic acid binding domain-containing protein
AT2G04570,,2.34,DOWN,8.60,0.3752,GDSL esterase/lipase
AT2G04630,NRPB6B,1.04,UP,19.46,1,RNA polymerase Rpb6
AT2G04700,,1.32,UP,41.13,0.6698,Ferredoxin-thioredoxin reductase catalytic chain
AT2G04780,FLA7,1.60,DOWN,35.02,0.1081,fasciclin-like arabinogalactan protein 7
AT2G04790,,8.08,DOWN,7.67,0.5601,uncharacterized protein
AT2G04795,,1.49,DOWN,10.57,0.9070,uncharacterized protein
AT2G04800,,1.42,DOWN,11.95,0.9665,uncharacterized protein
AT2G04842,EMB2761,1.18,UP,17.59,0.8607,putative threonyl-tRNA synthetase; putative / threonine--tRNA ligase
AT2G04845,,2.59,DOWN,7.83,0.4808,Acyl-CoA N-acyltransferase domain-containing protein
AT2G04852,,2.12,DOWN,4.71,0.6716,Potential natural antisense gene; locus overlaps with AT2G04850
AT2G04900,,1.15,DOWN,22.61,1,uncharacterized protein
AT2G05070,LHCB2,3.08,DOWN,289.01,0.0009,photosystem II light harvesting complex protein 2.2
AT2G05100,LHCB2.1,3.24,DOWN,463.34,0.0009,photosystem II light harvesting complex protein 2.1
AT2G05220,,1.43,UP,63.72,0.3599,40S ribosomal protein S17-2
AT2G05310,,1.14,DOWN,140.53,0.8007,uncharacterized protein
AT2G05380,GRP3S,1.81,DOWN,2760.46,0.0009,glycine-rich protein 3 short isoform
AT2G05440,GRP9,6.06,DOWN,281.45,0.0009,glycine-rich protein 9
AT2G05510,,4.17,DOWN,170.84,0.0009,glycine-rich protein
AT2G05520,ATGRP-3,1.14,UP,6109.85,0.5669,glycine-rich protein 3
AT2G05540,,4.61,DOWN,69.65,0.0009,glycine-rich protein
AT2G05620,PGR5,1.85,DOWN,69.01,0.0140,protein PROTON GRADIENT REGULATION 5
AT2G05630,ATG8D,2.91,DOWN,17.05,0.1371,autophagy-related protein 8d
AT2G05710,ACO3,1.31,UP,26.69,0.1554,aconitate hydratase 2
AT2G05765,,4.80,DOWN,3971.09,0.5871,snoRNA
AT2G05790,,1.58,DOWN,30.07,0.0887,O-Glycosyl hydrolases family 17 protein
AT2G05812,,1.20,DOWN,9.56,0.9778,Potential natural antisense gene; locus overlaps with AT2G05810
AT2G05840,PAA2,1.27,DOWN,19.88,0.7403,proteasome subunit alpha type-6-B
AT2G05920,,1.18,DOWN,53.46,0.4028,Subtilase-like protein
AT2G05990,MOD1,1.83,DOWN,29.18,0.0420,enoyl
AT2G06025,,3.58,UP,11.41,0.1457,acyl-CoA N-acyltransferases-like protein
AT2G06520,PSBX,1.65,DOWN,1317.17,0.0009,photosystem II subunit X
AT2G06530,VPS2.1,1.44,UP,21.39,0.5090,vacuolar protein sorting-associated protein 2-1
AT2G06850,EXGT-A1,2.52,DOWN,248.74,0.0009,xyloglucan endotransglucosylase/hydrolase protein 4
AT2G06925,ATSPLA2-ALPHA,2.13,DOWN,24.73,0.3101,Phospholipase A2-like protein
AT2G07050,CAS1,1.97,UP,14.51,0.0301,cycloartenol synthase
AT2G07180,,1.46,UP,11.09,0.4773,protein kinase domain-containing protein
AT2G07340,PFD1,1.55,DOWN,16.15,0.6311,prefoldin 1
AT2G07687,,2.22,DOWN,19.45,0.3243,cytochrome c oxidase subunit 3
AT2G07708,,1.63,UP,28.07,0.5109,uncharacterized protein
AT2G07717,,4.43,UP,8.41,0.0009,pseudogene
AT2G07719,,6.93,DOWN,9.57,0.5663,Putative membrane lipoprotein
AT2G07725,,2.33,DOWN,9.76,0.6787,60S ribosomal protein L5
AT2G07726,,1.79,UP,155.22,0.7582,pseudogene
AT2G07731,,1.70,DOWN,11.50,0.7403,pseudogene
AT2G07733,,2.00,UP,8.63,0.3091,pseudogene
AT2G07774,,1.33,DOWN,8.78,1,uncharacterized protein
AT2G07783,,1.80,DOWN,31.36,0.0575,pseudogene
AT2G09795,,2.07,DOWN,12.03,0.4449,other RNA
AT2G09990,,2.09,DOWN,47.75,0.0892,40S ribosomal protein S16-1
AT2G10410,SADHU1-1,1.94,DOWN,60.73,0.0025,transposable element gene
AT2G10940,,1.68,DOWN,384.12,0.0009,bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT2G11240,,5.49,UP,6.00,0.0038,transposable element gene
AT2G11890,,1.37,DOWN,36.62,0.4542,adenylate cyclase
AT2G11910,,1.81,DOWN,179.37,0.0025,uncharacterized protein
AT2G13360,AGT1,2.20,DOWN,354.00,0.0009,serine--glyoxylate aminotransferase
AT2G13560,NAD-ME1,1.81,UP,24.04,0.0121,NAD-dependent malic enzyme 1
AT2G13820,,3.51,DOWN,12.04,0.2695,Non-specific lipid-transfer protein-like protein
AT2G13975,,2.12,DOWN,17.06,0.4449,.
AT2G14170,ALDH6B2,1.35,UP,10.97,0.5378,Methylmalonate-semialdehyde dehydrogenase
AT2G14247,,10.28,DOWN,27.88,0.1144,uncharacterized protein
AT2G14260,PIP,4.53,UP,11.15,0.0729,proline iminopeptidase
AT2G14285,,1.21,UP,14.46,1,Small nuclear ribonucleoprotein family protein
AT2G14460,,1.95,DOWN,18.58,0.6238,uncharacterized protein
AT2G14560,LURP1,77.84,UP,40.87,0.5488,LURP1 protein
AT2G14610,PR1,28.60,UP,15.77,0.5587,pathogenesis-related protein 1
AT2G14720,VSR2,1.28,UP,8.31,0.7118,vacuolar-sorting receptor 4
AT2G14750,APK,1.33,DOWN,17.94,0.7990,Adenylyl-sulfate kinase 1
AT2G14835,,1.85,DOWN,6.85,0.3615,RING/U-box domain-containing protein
AT2G14878,,2.35,DOWN,27.94,0.1336,.
AT2G14880,,1.86,DOWN,18.38,0.3851,SWIB/MDM2 domain-containing protein
AT2G14890,AGP9,1.56,DOWN,180.78,0.0038,arabinogalactan protein 9
AT2G14900,,3.75,DOWN,32.16,0.1160,gibberellin-regulated protein
AT2G14910,,1.70,DOWN,39.83,0.0397,uncharacterized protein
AT2G15000,,2.03,DOWN,19.07,0.2937,uncharacterized protein
AT2G15020,,2.13,DOWN,17.43,0.0182,uncharacterized protein
AT2G15050,LTP7,1.84,UP,81.74,0.2164,non-specific lipid-transfer protein 7
AT2G15290,ATTIC21,1.28,DOWN,27.83,0.6620,translocon at inner membrane of chloroplasts 21
AT2G15292,,4.29,DOWN,12.97,0.0965,Unknown gene
AT2G15570,ATM3,1.04,UP,20.65,1,thioredoxin M3
AT2G15580,,1.55,DOWN,33.06,0.3191,RING/U-box domain-containing protein
AT2G15620,NIR1,1.16,DOWN,59.70,0.4522,Ferredoxin--nitrite reductase
AT2G15690,,1.63,DOWN,5.64,0.4346,pentatricopeptide repeat-containing protein
AT2G15790,CYP40,5.78,UP,12.08,0.0434,Peptidyl-prolyl cis-trans isomerase CYP40
AT2G15800,,37.41,UP,6.79,0.5282,transposable element gene
AT2G15830,,1.75,DOWN,34.24,0.5703,uncharacterized protein
AT2G15890,MEE14,1.63,UP,40.14,0.0955,maternal effect embryo arrest 14 protein
AT2G15910,,2.20,DOWN,11.50,0.4611,CSL zinc finger domain-containing protein
AT2G15960,,4.30,DOWN,281.02,0.0009,uncharacterized protein
AT2G15970,COR413-PM1,1.92,DOWN,134.95,0.0017,cold regulated 413 plasma membrane 1
AT2G16060,GLB1,2.06,DOWN,10.21,0.5700,non-symbiotic hemoglobin 1
AT2G16070,PDV2,1.49,UP,14.45,0.5299,plastid division2 protein
AT2G16430,PAP10,1.69,UP,8.16,0.4839,purple acid phosphatase 10
AT2G16500,ARGDC,2.10,DOWN,34.56,0.0009,arginine decarboxylase 1
AT2G16510,,1.79,DOWN,60.67,0.0623,V-type proton ATPase proteolipid subunit c1/c3/c5
AT2G16586,,2.90,UP,2565.07,0.0009,uncharacterized protein
AT2G16600,ROC3,1.50,DOWN,265.76,0.0063,Peptidyl-prolyl cis-trans isomerase CYP19-1
AT2G16630,,3.73,DOWN,8.07,0.3140,pollen Ole e 1 allergen and extensin family protein
AT2G16640,TOC132,2.82,UP,6.44,0.0243,translocase of chloroplast 132
AT2G16700,ADF5,1.10,UP,17.60,1,actin depolymerizing factor 5
AT2G16710,,4.20,UP,6.16,0.4770,Iron-sulfur assembly protein IscA-like 1
AT2G16740,UBC29,1.31,DOWN,8.65,1,ubiquitin-conjugating enzyme E2 29
AT2G16780,NFC02,2.63,DOWN,6.12,0.3363,histone-binding protein RBBP4
AT2G16800,,1.90,DOWN,11.34,0.3782,high-affinity nickel-transport-like protein
AT2G16850,PIP3B,1.63,UP,11.15,0.6200,putative aquaporin PIP2-8
AT2G16860,,5.85,UP,5.41,0.3420,pre-mRNA-splicing factor SYF2
AT2G16930,,1.42,DOWN,16.97,0.7342,Ribosomal protein L27 family protein
AT2G16940,,4.44,UP,13.72,0.0038,splicing factor; CC1-like protein
AT2G17033,,1.89,DOWN,7.22,0.3079,pentatricopeptide repeat-containing protein
AT2G17120,LYM2,1.43,UP,7.94,0.7480,LysM domain-containing GPI-anchored protein 2
AT2G17130,IDH-II,2.43,DOWN,10.50,0.1600,Isocitrate dehydrogenase
AT2G17190,,1.23,DOWN,14.19,0.7179,ubiquilin
AT2G17200,DSK2,1.61,UP,10.04,0.2727,ubiquitin-like protein
AT2G17230,EXL5,2.50,DOWN,15.59,0.1103,protein exordium like 5
AT2G17240,,1.44,DOWN,33.99,0.5468,uncharacterized protein
AT2G17265,HSK,1.96,DOWN,12.01,0.3615,homoserine kinase
AT2G17300,,2.17,DOWN,23.20,0.2525,uncharacterized protein
AT2G17340,,1.78,UP,15.71,0.2583,uncharacterized protein
AT2G17350,,5.51,UP,7.37,0.3423,uncharacterized protein
AT2G17360,,2.19,DOWN,107.52,0.0009,40S ribosomal protein S4-1
AT2G17380,AP19,1.82,UP,12.19,0.6419,AP-1 complex subunit sigma-1
AT2G17390,AKR2B,1.11,UP,51.62,0.8608,ankyrin repeat-containing 2B
AT2G17420,NTRA,1.21,DOWN,40.34,0.5850,NADPH-dependent thioredoxin reductase A
AT2G17450,RHA3A,1.88,DOWN,21.19,0.4038,RING-H2 finger protein ATL44
AT2G17500,,1.58,DOWN,17.44,0.2808,auxin efflux carrier-like protein
AT2G17520,IRE1A,4.25,UP,6.01,0.0500,endoribonuclease/protein kinase IRE1-like protein
AT2G17540,,1.08,UP,7.40,1,uncharacterized protein
AT2G17560,NFD4,1.75,UP,55.78,0.1162,high mobility group B4 protein
AT2G17630,,7.73,DOWN,6.49,0.1270,putative phosphoserine aminotransferase
AT2G17695,,1.84,UP,11.36,0.5375,uncharacterized protein
AT2G17800,ATRAC1,1.94,DOWN,13.88,0.2646,Rac-like GTP-binding protein ARAC1
AT2G17840,ERD7,1.10,UP,13.60,1,senescence/dehydration related protein
AT2G17870,ATCSP3,1.17,DOWN,44.18,0.7403,cold shock domain protein 3
AT2G17880,,2.40,DOWN,8.63,0.5248,DNAJ heat shock N-terminal domain-containing protein
AT2G17972,,1.20,DOWN,19.08,1,uncharacterized protein
AT2G17990,,2.53,UP,5.90,0.2792,uncharacterized protein
AT2G18030,,2.71,DOWN,8.64,0.1875,peptide methionine sulfoxide reductase A5
AT2G18040,PIN1AT,1.08,UP,38.74,1,Peptidyl-prolyl cis-trans isomerase Pin1
AT2G18110,,1.81,DOWN,31.54,0.1576,Elongation factor 1-delta 2
AT2G18162,CPuORF1,1.98,DOWN,32.17,0.1028,uncharacterized protein
AT2G18170,ATMPK7,1.14,UP,10.96,1,mitogen-activated protein kinase 7
AT2G18230,AtPPa2,1.87,UP,17.64,0.3461,soluble inorganic pyrophosphatase 2
AT2G18270,,2.83,UP,103.40,0.4671,uncharacterized protein
AT2G18280,TLP2,1.32,UP,29.05,0.3641,Tubby-like F-box protein 2
AT2G18300,,3.27,UP,12.14,0.0573,transcription factor bHLH64
AT2G18328,ATRL4,1.48,DOWN,31.94,0.7899,RAD-like 4 protein
AT2G18370,,1.83,DOWN,12.41,0.5878,non-specific lipid-transfer protein 8
AT2G18400,,1.05,DOWN,9.69,1,large subunit ribosomal protein L6
AT2G18410,,1.93,DOWN,5.20,0.5752,uncharacterized protein
AT2G18440,GUT15,2.06,UP,54.52,0.0160,Encodes a noncoding RNA; a member of an emerging class of transcripts that lack significant open reading frames and encode RNA as their final product
AT2G18510,emb2444,1.40,DOWN,7.07,0.7938,splicing factor 3B subunit 4
AT2G18690,,2.04,UP,10.11,0.4011,uncharacterized protein
AT2G18700,TPS11,1.75,UP,7.44,0.2364,putative alpha;alpha-trehalose-phosphate synthase
AT2G18710,SCY1,1.71,UP,22.09,0.1092,Preprotein translocase subunit secY
AT2G18730,ATDGK3,1.48,DOWN,8.06,0.6061,diacylglycerol kinase 3
AT2G18740,,15.74,DOWN,15.69,0.5518,putative small nuclear ribonucleoprotein
AT2G18750,,1.57,UP,7.09,0.4216,Calmodulin-binding protein
AT2G18790,PHYB,1.87,UP,6.88,0.0911,phytochrome B
AT2G18910,,3.60,DOWN,11.94,0.3193,hydroxyproline-rich glycoprotein-like protein
AT2G18940,,1.46,DOWN,7.95,0.4596,pentatricopeptide repeat-containing protein
AT2G18960,AHA1,1.19,UP,73.04,0.1314,H(+)-ATPase 1
AT2G19180,,1.55,UP,13.50,0.7390,uncharacterized protein
AT2G19270,,2.26,DOWN,6.41,0.5177,uncharacterized protein
AT2G19310,,1.71,DOWN,48.41,0.2481,HSP20-like chaperone
AT2G19460,,5.74,DOWN,19.05,0.3905,uncharacterized protein
AT2G19480,NFA2,1.89,UP,29.79,0.0393,nucleosome assembly protein 1;2
AT2G19520,ATMSI4,2.49,UP,11.38,0.0407,histone-binding protein RBBP4
AT2G19572,,1.07,DOWN,19.56,1,Potential natural antisense gene; locus overlaps with AT2G19570
AT2G19640,ASHR2,1.67,DOWN,4.68,0.6689,histone-lysine N-methyltransferase ASHR2
AT2G19680,,1.72,DOWN,38.25,0.3697,F-type H+-transporting ATPase subunit g
AT2G19730,,1.40,DOWN,119.98,0.1175,60S ribosomal protein L28-1
AT2G19740,,1.07,UP,48.38,1,60S ribosomal protein L31-1
AT2G19750,,1.08,UP,28.26,1,40S ribosomal protein S30
AT2G19760,PFN1,3.92,DOWN,115.05,0.0009,profilin 1
AT2G19790,,1.55,UP,30.58,0.6126,AP-4 complex subunit sigma
AT2G19830,SNF7.2,1.51,UP,21.56,0.4756,vacuolar protein sorting-associated protein 32-1
AT2G19940,,1.05,UP,7.38,1,N-acetyl-gamma-glutamyl-phosphate reductase
AT2G19970,,7.98,DOWN,6.42,0.5638,putative pathogenesis-related protein
AT2G20050,,3.57,UP,6.62,0.0309,protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein
AT2G20120,COV1,9.09,DOWN,7.31,0.1159,uncharacterized protein
AT2G20140,,1.39,DOWN,7.76,0.7253,26S proteasome regulatory subunit 4-B
AT2G20230,,1.35,DOWN,54.33,0.2776,Tetraspanin family protein
AT2G20260,PSAE-2,1.04,UP,476.67,1,photosystem I reaction center subunit IV B
AT2G20270,,1.94,DOWN,21.56,0.4113,monothiol glutaredoxin-S12
AT2G20280,,2.34,UP,12.17,0.1708,zinc finger CCCH domain-containing protein 21
AT2G20360,,1.18,DOWN,33.81,0.6454,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9
AT2G20420,,1.73,UP,28.86,0.0564,Succinyl-CoA ligase
AT2G20450,,1.00,UP,93.93,1,60S ribosomal protein L14-1
AT2G20490,NOP10,1.06,DOWN,39.07,1,H/ACA ribonucleoprotein complex subunit 3-like protein
AT2G20530,PHB6,1.36,DOWN,10.79,0.8039,prohibitin 6
AT2G20570,GPRI1,1.48,DOWN,49.41,0.0537,GBF's pro-rich region-interacting factor 1
AT2G20585,NFD6,1.88,DOWN,8.80,0.7481,nuclear fusion defective 6
AT2G20610,RTY1,1.30,UP,10.17,0.7194,superroot 1 protein
AT2G20630,PIA1,5.58,UP,17.07,0.0534,putative protein phosphatase 2C 20
AT2G20670,,2.34,DOWN,31.07,0.0230,uncharacterized protein
AT2G20690,,1.02,DOWN,24.76,1,riboflavin synthase alpha chain
AT2G20721,,3.04,DOWN,1519.21,0.8511,snoRNA
AT2G20724,,4.33,DOWN,97.39,0.0160,pseudogene
AT2G20740,,1.18,UP,16.96,1,Tetraspanin family protein
AT2G20760,,1.44,UP,11.95,0.4773,Clathrin light chain protein
AT2G20820,,1.87,DOWN,62.53,0.1088,uncharacterized protein
AT2G20835,,2.34,UP,18.30,0.7442,uncharacterized protein
AT2G20840,,5.81,DOWN,7.78,0.3912,secretory carrier-associated membrane protein 1
AT2G20860,LIP1,1.97,DOWN,33.67,0.0136,lipoic acid synthase 1
AT2G20890,PSB29,1.81,DOWN,180.86,0.0009,protein THYLAKOID FORMATION 1
AT2G20920,,1.38,DOWN,20.99,0.4669,uncharacterized protein
AT2G20930,,1.44,DOWN,26.40,0.6597,sedlin-N conserved region-containing protein
AT2G20940,,2.23,DOWN,13.13,0.4769,uncharacterized protein
AT2G20950,,1.50,UP,5.70,0.5712,phospholipase-like protein (PEARLI 4) domain-containing protein
AT2G20990,NTMC2T1.1,1.20,DOWN,25.39,0.6065,synaptotagmin A
AT2G21045,,4.75,DOWN,10.94,0.4190,rhodanese-like domain-containing protein
AT2G21060,ATGRP2B,1.44,DOWN,97.04,0.0926,glycine-rich protein 2B
AT2G21120,,1.26,DOWN,9.89,0.8719,uncharacterized protein
AT2G21130,,15.95,DOWN,9.72,0.5620,Peptidyl-prolyl cis-trans isomerase CYP19-2
AT2G21140,ATPRP2,2.85,DOWN,19.37,0.0528,proline-rich protein 2
AT2G21150,XCT,1.11,DOWN,5.97,1,protein XAP5 CIRCADIAN TIMEKEEper
AT2G21160,,1.07,UP,53.38,1,translocon-associated protein subunit alpha
AT2G21170,PDTPI,1.11,DOWN,101.48,0.6681,triosephosphate isomerase
AT2G21180,,1.01,DOWN,12.07,1,uncharacterized protein
AT2G21185,,1.04,UP,19.06,1,uncharacterized protein
AT2G21190,,1.05,UP,9.15,1,putative ER lumen protein retaining receptor
AT2G21195,,1.33,DOWN,15.71,1,uncharacterized protein
AT2G21210,,2.80,DOWN,49.34,0.0580,SAUR-like auxin-responsive protein
AT2G21220,,2.07,DOWN,9.67,0.6974,SAUR-like auxin-responsive protein
AT2G21240,BPC4,1.59,DOWN,13.09,0.4169,basic pentacysteine 4
AT2G21250,,1.84,UP,20.00,0.1192,NAD(P)-linked oxidoreductase domain-containing protein
AT2G21270,UFD1,2.99,UP,8.25,0.1415,ubiquitin fusion degradation 1
AT2G21280,ATSULA,1.57,DOWN,12.64,0.5248,Rossmann-fold NAD(P)-binding domain-containing protein
AT2G21290,,1.16,DOWN,90.12,0.9198,30S ribosomal protein S31
AT2G21300,,4.95,UP,5.60,0.0404,ATP binding microtubule motor family protein
AT2G21330,FBA1,1.84,DOWN,351.01,0.0009,fructose-bisphosphate aldolase; class I
AT2G21340,,1.90,UP,11.75,0.1713,MATE efflux family protein
AT2G21370,XK-1,2.27,UP,6.98,0.1849,xylulose kinase-1
AT2G21385,,17.88,UP,7.68,0.5613,uncharacterized protein
AT2G21390,,1.05,UP,17.09,1,coatomer subunit alpha-2
AT2G21410,VHA-A2,2.73,UP,10.78,0.0182,V-type H+-transporting ATPase subunit I
AT2G21520,,2.83,UP,7.44,0.1011,sec.4-like phosphatidylinositol transfer protein
AT2G21530,,1.27,UP,30.81,0.6666,SMAD/FHA domain-containing protein
AT2G21540,SFH3,2.65,UP,5.69,0.1771,SEC14-like 3 protein
AT2G21580,,1.21,DOWN,85.30,0.5837,40S ribosomal protein S25-2
AT2G21600,ATRER1B,1.28,DOWN,20.93,0.8301,protein RER1B
AT2G21620,RD2,1.38,UP,22.65,0.5628,adenine nucleotide alpha hydrolases-like protein
AT2G21660,CCR2,1.63,DOWN,1689.69,0.0009,glycine-rich RNA-binding protein 7
AT2G21860,,1.84,DOWN,11.41,0.2818,violaxanthin de-epoxidase-related protein
AT2G21870,MGP1,1.10,UP,130.51,0.8158,putative ATP synthase subunit
AT2G21950,SKIP6,2.30,DOWN,20.30,0.0743,F-box/kelch-repeat protein SKIP6
AT2G21960,,1.45,UP,14.21,0.5656,uncharacterized protein
AT2G21970,SEP2,1.54,DOWN,75.73,0.1525,stress enhanced protein 2
AT2G22080,,1.36,DOWN,65.76,0.4009,uncharacterized protein
AT2G22122,,4.41,DOWN,36.09,0.2709,uncharacterized protein
AT2G22125,CSI1,1.63,UP,10.65,0.0178,cellulose synthase-interactive protein 1
AT2G22170,,2.64,DOWN,59.55,0.0075,PLAT-plant-stress domain-containing protein
AT2G22230,,1.59,DOWN,16.57,0.4843,3R-hydroxymyristoyl ACP dehydrase
AT2G22240,ATIPS2,1.33,UP,7.81,0.7980,inositol-3-phosphate synthase isozyme 2
AT2G22330,CYP79B3,2.54,DOWN,12.65,0.1110,tryptophan N-hydroxylase 2
AT2G22360,,2.10,UP,10.78,0.1805,molecular chaperone DnaJ
AT2G22400,,6.54,UP,8.04,0.0174,S-adenosylmethionine-dependent methyltransferase domain-containing protein
AT2G22425,,1.70,DOWN,142.20,0.1000,putative signal peptidase complex subunit 1
AT2G22430,ATHB6,1.01,DOWN,24.60,1,homeobox-leucine zipper protein ATHB-6
AT2G22470,AGP2,2.13,DOWN,59.40,0.0293,arabinogalactan protein 2
AT2G22500,UCP5,1.43,DOWN,9.30,0.8122,uncoupling protein 5
AT2G22510,,6.28,DOWN,30.75,0.0902,hydroxyproline-rich glycoprotein family protein
AT2G22540,SVP,1.27,DOWN,18.50,0.7254,MADS-box protein SVP
AT2G22640,HSPC300,3.60,DOWN,7.23,0.3090,protein BRICK 1
AT2G22660,,2.80,UP,12.66,0.0025,uncharacterized protein
AT2G22670,IAA8,1.25,DOWN,62.10,0.3566,auxin-responsive protein IAA8
AT2G22720,,2.99,UP,5.72,0.1153,SPT2 chromatin protein
AT2G22780,PMDH1,1.48,UP,12.17,0.4134,malate dehydrogenase
AT2G22795,,10.73,UP,6.52,0.1071,uncharacterized protein
AT2G22900,,1.62,UP,6.43,0.6084,putative glycosyltransferase 7
AT2G22970,SCPL11,1.91,DOWN,5.62,0.6035,serine carboxypeptidase-like 11
AT2G22990,SCPL8,1.79,DOWN,80.99,0.0009,sinapoylglucose-malate O-sinapoyltransferase
AT2G23070,,1.02,UP,17.31,1,casein kinase 2; alpha polypeptide
AT2G23090,,2.50,DOWN,634.46,0.0009,uncharacterized protein
AT2G23120,,1.23,DOWN,178.14,0.3595,Late embryogenesis abundant protein; group 6
AT2G23130,AGP17,2.76,DOWN,20.77,0.1323,Lysine-rich arabinogalactan protein 17
AT2G23290,AtMYB70,1.66,DOWN,11.97,0.5468,myb domain protein 70
AT2G23310,ATRER1C1,2.46,UP,8.38,0.3578,protein RER1C
AT2G23320,WRKY15,2.04,UP,19.97,0.2007,putative WRKY transcription factor 15
AT2G23340,DEAR3,1.16,DOWN,9.88,1,ethylene-responsive transcription factor ERF008
AT2G23350,PAB4,1.02,DOWN,25.12,1,poly(A) binding protein 4
AT2G23420,NAPRT2,1.84,UP,6.00,0.3849,nicotinate phosphoribosyltransferase
AT2G23430,KRP1,1.75,UP,16.47,0.5267,cyclin-dependent kinase inhibitor 1
AT2G23540,,2.46,DOWN,8.97,0.2765,GDSL esterase/lipase
AT2G23600,MES2,1.53,UP,56.01,0.1519,acetone-cyanohydrin lyase
AT2G23610,ATMES3,1.13,DOWN,15.25,1,methyl esterase 3
AT2G23672,,1.31,DOWN,67.89,0.4371,other RNA
AT2G23780,,3.63,DOWN,14.86,0.2020,ubiquitin-protein ligase RNF5
AT2G23810,TET8,2.72,DOWN,11.27,0.2249,tetraspanin8
AT2G23820,,2.31,UP,10.15,0.3129,Metal-dependent phosphohydrolase
AT2G23930,SNRNP-G,1.23,DOWN,60.02,0.8484,small nuclear ribonucleoprotein
AT2G23940,,1.70,DOWN,6.90,0.7112,uncharacterized protein
AT2G23980,ATCNGC6,4.76,UP,6.90,0.1255,cyclic nucleotide gated channel
AT2G23985,,1.83,DOWN,6.41,0.8267,uncharacterized protein
AT2G24020,,1.41,UP,49.00,0.3553,uncharacterized protein
AT2G24040,,3.39,DOWN,31.73,0.4887,Low temperature and salt responsive protein
AT2G24060,,1.02,DOWN,9.28,1,translation initiation factor IF-3
AT2G24090,,4.04,DOWN,276.52,0.0009,Ribosomal protein L35
AT2G24150,HHP3,2.89,DOWN,28.73,0.0107,heptahelical protein 3
AT2G24180,CYP71B6,1.54,UP,11.53,0.4113,cytochrome P450 71B6
AT2G24200,,1.12,UP,52.55,0.7459,leucine aminopeptidase 1
AT2G24270,ALDH11A3,1.43,UP,58.10,0.0933,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
AT2G24290,,1.58,UP,11.27,0.7097,uncharacterized protein
AT2G24360,,1.17,DOWN,14.21,0.8744,putative serine/threonine/tyrosine kinase
AT2G24390,,1.88,UP,7.23,0.6151,AIG2-like family protein
AT2G24395,,3.39,DOWN,12.69,0.4834,chaperone protein dnaJ-related protein
